Sales,Quantity,Discount,Profit,Order Date,Month
143.976,3,0.2,8.9985,2014-09-08,9
20.94,3,0.0,9.8418,2014-08-05,8
110.96,2,0.0,53.2608,2014-08-05,8
340.144,7,0.2,21.259,2014-08-05,8
52.448,2,0.8,-131.12,2014-09-14,9
20.16,4,0.2,6.552,2014-09-14,9
97.264,4,0.8,-243.16,2017-04-21,4
396.802,7,0.3,-11.3372,2015-11-21,11
15.88,5,0.2,-3.7715,2015-11-21,11
3.28,1,0.0,1.4104,2015-12-15,12
24.816,2,0.2,1.8612,2014-12-05,12
408.744,7,0.2,76.6395,2014-12-05,12
503.96,4,0.0,131.0296,2014-11-19,11
149.95,5,0.0,41.986,2014-11-19,11
29.0,2,0.0,7.25,2014-11-19,11
7.16,2,0.0,3.4368,2016-11-28,11
176.8,8,0.0,22.984,2014-08-26,8
37.224,3,0.2,3.7224,2016-07-16,7
20.016,3,0.2,6.255,2016-07-16,7
899.136,4,0.2,112.392,2015-10-12,10
71.76,6,0.0,20.0928,2015-10-12,10
51.84,8,0.0,24.8832,2015-10-12,10
626.352,3,0.2,46.9764,2015-10-12,10
19.9,5,0.0,6.567,2015-10-12,10
14.28,7,0.0,6.7116,2015-10-31,10
7.408,2,0.2,1.2038,2014-03-21,3
6.048,3,0.2,1.5876,2014-03-21,3
46.26,3,0.0,12.0276,2017-11-06,11
2.946,2,0.7,-2.2586,2017-07-06,7
16.056,3,0.2,5.8203,2017-07-06,7
21.744,3,0.2,6.795,2017-06-24,6
218.75,2,0.5,-161.875,2014-08-03,8
2.6,1,0.2,0.2925,2014-08-03,8
66.284,2,0.8,-178.9668,2017-12-17,12
35.168,7,0.2,9.6712,2017-06-03,6
444.768,4,0.2,44.4768,2017-12-09,12
83.92,4,0.0,5.8744,2017-12-01,12
131.98,2,0.0,35.6346,2017-12-01,12
15.92,4,0.0,7.4824,2017-12-01,12
52.29,9,0.0,16.2099,2017-12-01,12
91.99,1,0.0,3.6796,2017-12-01,12
20.8,2,0.2,6.5,2015-02-09,2
23.68,2,0.2,8.88,2015-01-02,1
452.45,5,0.5,-244.323,2015-01-02,1
62.982,3,0.4,-14.6958,2015-01-02,1
1188.0,9,0.7,-950.4,2015-01-02,1
89.584,2,0.2,4.4792,2015-01-02,1
93.06,6,0.0,26.0568,2016-10-28,10
302.376,3,0.2,22.6782,2016-10-28,10
5.584,2,0.2,1.8148,2015-12-24,12
22.704,6,0.2,8.2302,2015-12-24,12
19.776,4,0.7,-13.8432,2015-12-24,12
72.704,4,0.2,19.0848,2015-12-24,12
479.988,4,0.7,-383.9904,2015-12-24,12
27.168,2,0.2,2.7168,2015-12-24,12
2.2,1,0.0,0.968,2015-08-09,8
622.45,5,0.0,136.939,2015-08-09,8
21.98,1,0.0,0.2198,2015-08-09,8
161.568,2,0.2,-28.2744,2015-02-28,2
389.696,8,0.2,43.8408,2015-02-28,2
18.648,7,0.7,-12.432,2014-09-13,9
233.86,2,0.45,-102.048,2017-04-07,4
620.6145,3,0.45,-248.2458,2017-04-07,4
5.328,2,0.7,-3.552,2017-04-07,4
258.072,3,0.2,0.0,2017-04-07,4
617.976,3,0.2,-7.7247,2017-04-07,4
10.56,2,0.0,4.752,2017-11-12,11
25.92,5,0.2,9.396,2016-06-04,6
419.68,5,0.6,-356.728,2016-06-04,6
11.688,3,0.6,-4.6752,2016-06-04,6
31.984,2,0.2,11.1944,2016-06-04,6
177.225,5,0.5,-120.513,2016-06-04,6
4.044,3,0.6,-2.8308,2016-06-04,6
7.408,2,0.2,1.2038,2016-06-04,6
2001.86,7,0.0,580.5394,2014-06-01,6
166.72,2,0.0,41.68,2014-06-01,6
47.88,6,0.0,23.94,2014-06-01,6
1503.25,5,0.0,496.0725,2014-06-01,6
25.92,4,0.0,12.4416,2014-06-01,6
321.568,2,0.2,28.1372,2016-12-10,12
7.61,1,0.0,3.5767,2016-09-11,9
3347.37,13,0.0,636.0003,2016-09-11,9
80.58,6,0.0,22.5624,2016-12-10,12
361.92,4,0.0,162.864,2016-12-10,12
12.132,9,0.6,-8.4924,2015-11-28,11
82.368,2,0.2,-19.5624,2015-11-28,11
53.92,5,0.2,4.044,2015-11-28,11
647.904,6,0.2,56.6916,2015-11-28,11
20.37,3,0.0,6.9258,2017-12-01,12
221.55,3,0.0,6.6465,2017-12-01,12
17.52,5,0.2,6.132,2017-12-01,12
1.624,2,0.8,-4.466,2017-06-08,6
3059.982,3,0.4,-509.997,2014-09-19,9
2519.958,7,0.4,-251.9958,2014-09-19,9
328.224,4,0.2,28.7196,2016-06-06,6
79.9,2,0.0,35.156,2015-11-10,11
14.016,3,0.2,4.7304,2017-06-16,6
7.56,6,0.0,0.3024,2016-01-22,1
37.208,1,0.2,-7.4416,2017-12-09,12
57.576,3,0.2,21.591,2017-12-09,12
725.84,4,0.0,210.4936,2017-12-28,12
209.93,7,0.0,92.3692,2015-07-30,7
5.28,3,0.0,2.3232,2015-07-30,7
10.92,3,0.2,4.095,2015-07-30,7
8.82,2,0.0,4.0572,2017-09-16,9
5.98,1,0.0,1.5548,2017-09-16,9
11.648,2,0.2,4.0768,2017-10-13,10
18.176,4,0.2,5.9072,2017-10-13,10
59.712,6,0.2,5.9712,2017-10-13,10
24.84,3,0.2,8.694,2017-10-13,10
2.08,5,0.8,-3.432,2015-09-26,9
1114.4,7,0.2,376.11,2015-09-26,9
1038.84,5,0.2,51.942,2015-11-02,11
141.76,5,0.2,47.844,2015-09-26,9
239.8,5,0.2,47.96,2015-09-26,9
31.104,6,0.2,10.8864,2015-09-26,9
254.058,7,0.7,-169.372,2016-12-18,12
194.528,2,0.2,24.316,2016-12-18,12
961.48,5,0.2,-204.3145,2016-12-18,12
19.096,7,0.2,6.6836,2016-11-20,11
18.496,8,0.2,6.2424,2016-11-20,11
255.984,2,0.2,54.3966,2016-11-20,11
86.97,3,0.5,-48.7032,2016-11-20,11
300.416,8,0.2,78.8592,2014-12-26,12
230.352,3,0.2,20.1558,2014-12-26,12
218.352,3,0.2,-24.5646,2014-12-26,12
78.6,5,0.7,-62.88,2014-12-26,12
27.552,3,0.2,9.2988,2014-12-26,12
32.4,5,0.0,15.552,2016-10-28,10
1082.48,8,0.0,10.8248,2016-10-28,10
56.91,3,0.0,27.3168,2016-10-28,10
77.6,4,0.0,38.024,2016-10-28,10
14.28,1,0.0,6.5688,2016-10-28,10
219.075,3,0.5,-131.445,2017-11-19,11
26.8,2,0.0,12.864,2015-05-04,5
9.84,3,0.0,2.8536,2014-12-30,12
45.48,3,0.0,20.9208,2014-06-01,6
289.2,6,0.0,83.868,2014-06-01,6
4.89,1,0.0,2.0049,2017-04-15,4
15.136,4,0.2,3.5948,2016-09-12,9
466.768,2,0.2,52.5114,2016-09-12,9
15.232,1,0.2,1.7136,2016-09-12,9
6.264,3,0.2,2.0358,2016-09-12,9
87.54,3,0.0,37.6422,2014-09-27,9
178.384,2,0.2,22.298,2014-08-09,8
15.552,3,0.2,5.4432,2014-08-09,8
99.136,4,0.2,8.6744,2014-12-28,12
135.882,1,0.1,24.1568,2014-11-04,11
3991.98,2,0.0,1995.99,2014-11-04,11
275.94,6,0.0,80.0226,2014-11-04,11
360.0,4,0.0,129.6,2014-11-04,11
43.57,1,0.0,13.071,2014-11-04,11
7.16,2,0.0,3.58,2014-09-19,9
251.52,6,0.2,81.744,2016-04-23,4
99.99,1,0.0,34.9965,2016-04-23,4
15.992,1,0.2,0.9995,2017-11-03,11
290.898,3,0.4,-67.8762,2016-08-30,8
54.224,2,0.2,3.389,2016-08-30,8
786.744,4,0.3,-258.5016,2016-08-30,8
100.24,10,0.2,33.831,2016-08-30,8
37.764,6,0.7,-27.6936,2016-08-30,8
82.8,2,0.4,-20.7,2016-04-25,4
20.724,2,0.7,-13.816,2016-04-25,4
4.896,3,0.7,-3.4272,2016-04-25,4
4.752,1,0.2,1.6038,2015-09-01,9
959.984,2,0.2,335.9944,2015-09-01,9
14.368,4,0.2,4.49,2015-09-01,9
7.712,2,0.2,2.7956,2014-07-12,7
698.352,3,0.2,-17.4588,2014-07-12,7
4.96,4,0.0,2.3312,2015-06-22,6
17.856,4,0.2,1.116,2014-04-13,4
509.97,10,0.7,-407.976,2014-04-13,4
30.992,13,0.2,10.0724,2014-04-13,4
71.928,12,0.4,8.3916,2014-04-13,4
88.8,4,0.2,-2.22,2015-12-20,12
47.976,3,0.2,4.7976,2017-06-15,6
7.56,3,0.0,3.0996,2017-07-08,7
24.56,2,0.0,11.5432,2017-07-08,7
12.96,2,0.0,4.1472,2017-07-08,7
6.79,1,0.0,2.3086,2016-09-01,9
24.56,2,0.0,11.5432,2016-09-01,9
3.048,1,0.2,1.0668,2016-09-01,9
49.12,4,0.0,23.0864,2016-09-01,9
4355.168,4,0.2,1415.4296,2016-09-01,9
388.704,6,0.2,-4.8588,2016-04-08,4
8.26,2,0.0,3.7996,2016-04-08,4
17.04,4,0.0,6.9864,2016-04-08,4
34.4,5,0.0,15.824,2016-04-08,4
36.24,5,0.2,11.325,2016-04-23,4
647.84,8,0.0,168.4384,2017-03-08,3
20.7,2,0.0,9.936,2017-03-08,3
20.7,2,0.0,9.936,2017-09-25,9
488.646,3,0.1,86.8704,2017-09-25,9
5.56,2,0.0,1.4456,2017-09-25,9
47.12,8,0.0,20.7328,2017-09-25,9
211.96,4,0.0,8.4784,2014-09-24,9
23.2,4,0.0,10.44,2016-10-21,10
7.36,2,0.0,0.1472,2016-10-21,10
104.79,7,0.0,29.3412,2016-10-21,10
1043.92,4,0.0,271.4192,2016-10-21,10
25.92,5,0.2,9.396,2017-05-29,5
53.424,3,0.2,4.6746,2017-05-29,5
8.16,5,0.7,-5.712,2014-07-23,7
1023.936,8,0.2,179.1888,2014-07-23,7
9.24,1,0.2,0.924,2014-07-23,7
479.04,10,0.2,-29.94,2014-07-23,7
99.136,4,0.2,30.98,2016-09-28,9
1488.424,7,0.3,-297.6848,2017-08-27,8
8.652,3,0.8,-20.3322,2015-04-28,4
23.832,3,0.2,2.6811,2015-04-28,4
12.176,4,0.8,-18.8728,2015-04-28,4
50.96,7,0.0,25.48,2016-10-28,10
49.536,3,0.2,17.3376,2016-10-28,10
41.9,2,0.0,8.799,2015-06-26,6
375.4575,3,0.45,-157.0095,2015-11-27,11
83.976,3,0.2,-1.0497,2015-11-27,11
482.34,4,0.7,-337.638,2015-12-03,12
2.96,1,0.2,0.777,2015-12-03,12
2.624,1,0.2,0.4264,2014-11-24,11
23.36,4,0.2,7.884,2017-12-11,12
39.98,2,0.0,13.5932,2017-12-11,12
246.384,2,0.2,27.7182,2014-09-21,9
1799.97,3,0.0,701.9883,2014-09-21,9
12.462,3,0.8,-20.5623,2014-06-07,6
75.792,3,0.2,25.5798,2017-06-30,6
49.96,2,0.0,9.4924,2017-10-17,10
12.96,2,0.0,6.2208,2017-10-17,10
70.12,4,0.0,21.036,2015-10-31,10
35.952,3,0.2,3.5952,2016-09-08,9
2396.2656,4,0.32,-317.1528,2016-09-08,9
131.136,4,0.2,-32.784,2016-09-08,9
57.584,2,0.2,0.7198,2016-09-08,9
9.568,2,0.2,3.4684,2014-12-24,12
39.072,6,0.2,9.768,2014-04-16,4
35.91,3,0.0,9.6957,2017-12-24,12
179.95,5,0.0,37.7895,2017-12-08,12
1199.976,3,0.2,434.9913,2017-12-08,12
27.15,5,0.0,13.3035,2017-12-08,12
1004.024,7,0.2,-112.9527,2017-12-08,12
9.68,1,0.0,4.6464,2017-12-08,12
28.35,9,0.0,13.608,2017-12-08,12
55.98,1,0.0,27.4302,2017-12-08,12
1336.829,13,0.15,31.4548,2017-12-08,12
113.568,2,0.2,-18.4548,2017-12-08,12
139.86,7,0.0,65.7342,2017-11-03,11
307.136,4,0.2,26.8744,2017-11-03,11
95.92,8,0.0,25.8984,2017-06-24,6
383.8,5,0.2,38.38,2016-04-14,4
5.78,1,0.0,2.8322,2017-11-06,11
9.32,4,0.0,2.7028,2017-03-04,3
15.25,1,0.0,7.015,2017-03-04,3
196.752,6,0.2,56.5662,2014-06-22,6
56.56,4,0.0,14.7056,2017-10-19,10
32.7,3,0.0,8.502,2017-10-19,10
866.4,4,0.0,225.264,2017-08-21,8
28.4,2,0.0,11.076,2017-11-23,11
287.92,8,0.0,138.2016,2017-11-23,11
69.99,1,0.0,30.0957,2014-09-12,9
6.672,6,0.2,0.5004,2017-10-01,10
189.588,2,0.7,-145.3508,2016-04-15,4
408.744,7,0.2,76.6395,2016-04-15,4
291.96,5,0.2,54.7425,2016-04-15,4
4.768,2,0.2,-0.7748,2016-04-15,4
714.3,5,0.0,207.147,2016-06-06,6
4.812,2,0.7,-3.6892,2014-12-19,12
247.8,5,0.2,-18.585,2014-12-19,12
1007.979,3,0.3,43.1991,2016-06-12,6
313.488,7,0.2,113.6394,2016-06-12,6
31.872,8,0.2,11.5536,2017-09-15,9
207.846,3,0.1,2.3094,2017-01-20,1
12.22,1,0.0,3.666,2016-09-05,9
194.94,3,0.0,23.3928,2016-09-05,9
70.95,3,0.0,20.5755,2016-09-05,9
91.36,4,0.0,42.0256,2016-09-05,9
242.94,3,0.0,29.1528,2016-09-05,9
22.05,7,0.0,10.584,2016-09-05,9
2.91,1,0.0,1.3677,2017-03-20,3
59.52,3,0.0,15.4752,2016-04-01,4
161.94,3,0.0,9.7164,2016-04-01,4
263.88,6,0.0,71.2476,2016-04-01,4
30.48,3,0.0,7.9248,2016-04-01,4
9.84,3,0.0,2.8536,2016-04-01,4
35.12,4,0.0,9.1312,2016-04-01,4
284.364,2,0.4,-75.8304,2017-10-20,10
665.408,2,0.2,66.5408,2017-10-20,10
63.88,4,0.0,24.9132,2016-12-13,12
129.568,2,0.2,-24.294,2014-02-12,2
747.558,3,0.3,-96.1146,2016-09-26,9
8.928,2,0.2,3.348,2016-09-26,9
103.92,4,0.0,36.372,2015-12-15,12
899.91,9,0.0,377.9622,2015-12-15,12
51.312,3,0.2,18.6006,2015-12-15,12
23.56,5,0.2,7.068,2016-04-22,4
1272.63,6,0.5,-814.4832,2016-04-22,4
28.485,5,0.7,-20.889,2016-04-22,4
185.376,2,0.2,-34.758,2016-04-22,4
78.272,2,0.2,5.8704,2016-04-22,4
254.744,7,0.6,-312.0614,2015-01-17,1
205.3328,2,0.32,-36.2352,2017-03-31,3
4.788,3,0.8,-7.9002,2016-12-16,12
55.48,1,0.0,26.6304,2015-12-20,12
340.92,3,0.0,3.4092,2014-11-09,11
222.666,2,0.15,10.4784,2014-11-09,11
703.968,4,0.2,87.996,2014-11-09,11
92.52,6,0.0,24.9804,2014-11-09,11
62.65,7,0.0,28.819,2014-11-09,11
94.85,5,0.0,45.528,2014-11-09,11
95.76,6,0.2,7.182,2016-07-12,7
40.2,3,0.0,19.296,2016-10-27,10
14.7,5,0.0,6.615,2016-06-26,6
704.25,5,0.0,84.51,2016-06-26,6
9.09,3,0.0,1.9089,2014-10-06,10
5.96,2,0.0,1.6688,2014-07-22,7
159.98,2,0.0,57.5928,2014-07-22,7
29.6,2,0.0,14.8,2017-06-10,6
514.165,5,0.15,-30.245,2017-06-10,6
279.96,5,0.2,17.4975,2017-06-10,6
2735.952,6,0.2,341.994,2014-10-29,10
7.992,1,0.2,0.5994,2014-06-09,6
63.984,2,0.2,10.3974,2014-06-09,6
70.368,2,0.2,6.1572,2014-06-09,6
449.15,5,0.0,8.983,2014-09-14,9
11.07,3,0.0,5.0922,2014-09-14,9
93.98,2,0.0,13.1572,2016-05-09,5
189.882,3,0.4,-94.941,2016-03-18,3
105.42,2,0.0,51.6558,2015-12-27,12
119.616,8,0.2,40.3704,2016-07-25,7
255.76,4,0.0,81.8432,2016-07-25,7
241.568,2,0.2,18.1176,2016-07-25,7
69.3,9,0.0,22.869,2016-07-25,7
22.62,2,0.7,-15.08,2016-05-30,5
14.952,2,0.7,-11.9616,2016-05-30,5
801.568,2,0.2,50.098,2016-05-30,5
2.376,3,0.7,-1.9008,2016-05-30,5
32.792,1,0.2,11.8871,2016-05-30,5
15.92,5,0.2,5.373,2017-11-12,11
2.74,1,0.0,0.7398,2015-03-16,3
8.34,3,0.0,2.1684,2015-03-16,3
46.74,3,0.0,11.685,2015-03-16,3
6354.95,5,0.0,3177.475,2015-03-16,3
126.3,3,0.0,40.416,2017-11-26,11
38.04,2,0.0,12.1728,2017-11-26,11
7.152,3,0.2,0.7152,2016-10-20,10
6.63,3,0.0,1.7901,2017-12-21,12
5.88,2,0.0,1.7052,2017-12-21,12
2999.95,5,0.0,1379.977,2017-01-22,1
51.45,3,0.0,13.8915,2017-01-22,1
11.96,2,0.0,5.382,2017-01-22,1
1126.02,3,0.0,56.301,2017-01-22,1
18.392,1,0.2,5.2877,2015-03-22,3
129.568,2,0.2,-25.9136,2015-03-22,3
14.112,9,0.8,-21.168,2015-03-22,3
210.98,2,0.0,21.098,2017-01-23,1
55.176,3,0.2,-12.4146,2016-05-21,5
66.26,2,0.0,27.1666,2016-05-21,5
22.2,5,0.0,10.434,2015-12-26,12
683.952,3,0.2,42.747,2017-10-21,10
45.696,3,0.2,5.1408,2017-10-21,10
36.336,3,0.2,-7.2672,2015-09-03,9
666.248,1,0.2,-149.9058,2015-09-03,9
52.512,6,0.2,19.692,2015-09-03,9
190.72,1,0.2,11.92,2015-11-07,11
47.94,3,0.0,2.397,2017-09-07,9
979.95,5,0.0,274.386,2016-05-29,5
22.75,5,0.0,11.375,2016-05-29,5
16.768,2,0.2,1.4672,2016-07-10,7
42.616,7,0.8,-68.1856,2017-09-03,9
10.752,4,0.2,3.36,2015-12-03,12
152.94,3,0.0,41.2938,2015-12-07,12
283.92,4,0.0,70.98,2015-12-07,12
468.9,6,0.0,206.316,2014-02-01,2
380.864,8,0.2,38.0864,2016-07-14,7
646.776,9,0.2,-145.5246,2015-12-18,12
58.112,2,0.2,7.264,2014-05-11,5
100.792,1,0.2,6.2995,2014-05-11,5
66.112,4,0.6,-84.2928,2014-05-11,5
41.28,6,0.2,13.932,2017-11-19,11
13.36,2,0.0,6.4128,2017-11-19,11
250.272,9,0.2,15.642,2015-11-15,11
11.364,3,0.8,-17.046,2015-11-15,11
8.72,5,0.2,-1.744,2015-11-15,11
1121.568,2,0.2,0.0,2016-04-15,4
34.504,1,0.2,6.0382,2017-09-11,9
10.824,3,0.2,2.5707,2017-11-24,11
1295.78,2,0.0,310.9872,2017-06-29,6
19.456,4,0.2,3.4048,2014-03-03,3
20.7,2,0.0,9.936,2016-06-10,6
1335.68,4,0.2,-217.048,2016-06-10,6
32.4,5,0.0,15.552,2016-06-10,6
42.6,3,0.0,16.614,2017-11-20,11
84.056,7,0.2,27.3182,2017-11-20,11
13.0,5,0.2,1.3,2014-09-14,9
13.128,3,0.2,3.7743,2014-09-14,9
3.96,2,0.0,0.0,2015-12-07,12
2.61,1,0.0,1.2006,2015-12-07,12
374.376,3,0.2,46.797,2017-12-07,12
91.84,8,0.0,45.0016,2017-10-01,10
81.088,7,0.2,27.3672,2017-10-01,10
19.44,3,0.0,9.3312,2017-10-01,10
451.152,3,0.2,0.0,2017-10-01,10
72.45,7,0.0,34.776,2017-12-28,12
13.96,4,0.0,6.4216,2017-12-28,12
33.264,7,0.2,11.2266,2017-12-28,12
14.85,3,0.0,4.0095,2017-12-28,12
8.82,3,0.0,2.3814,2016-11-03,11
160.72,14,0.0,78.7528,2015-09-18,9
19.92,4,0.0,9.7608,2015-09-18,9
7.3,2,0.0,2.19,2015-09-18,9
69.712,2,0.2,8.714,2017-07-20,7
8.792,1,0.6,-5.7148,2017-07-20,7
51.52,4,0.0,1.5456,2015-09-10,9
470.376,3,0.2,52.9173,2017-12-01,12
